	HandOpen
0	581.622678396872
1	615.8357771260997
2	503.4213098729228
3	317.6930596285435
4	131.96480938416423
5	58.651026392961874
6	29.325513196480937
7	4.887585532746823
8	4.887585532746823
9	4.887585532746823
10	4.887585532746823
11	73.31378299120234
12	288.36754643206257
13	532.7468230694037
14	640.2737047898338
15	630.4985337243402
16	474.09579667644186
17	254.1544477028348
18	102.63929618768329
19	39.100684261974585
20	19.550342130987293
21	4.887585532746823
22	9.775171065493646
23	0
24	4.887585532746823
25	503.4213098729228
26	234.6041055718475
27	14.662756598240469
28	4.887585532746823
29	347.0185728250244
30	552.297165200391
31	29.325513196480937
32	4.887585532746823
33	146.6275659824047
34	645.1612903225806
35	53.763440860215056
36	0
37	127.0772238514174
38	610.9481915933529
39	48.87585532746823
40	0
41	122.18963831867057
42	620.7233626588466
43	53.763440860215056
44	4.887585532746823
45	117.30205278592375
46	645.1612903225806
47	58.651026392961874
48	0
49	122.18963831867057
50	635.386119257087
51	58.651026392961874
52	4.887585532746823
53	122.18963831867057
54	615.8357771260997
55	53.763440860215056
56	9.775171065493646
57	122.18963831867057
58	650.0488758553274
59	53.763440860215056
60	4.887585532746823
61	112.41446725317694
62	635.386119257087
63	58.651026392961874
64	4.887585532746823
65	131.96480938416423
66	635.386119257087
67	53.763440860215056
68	4.887585532746823
69	117.30205278592375
70	640.2737047898338
71	53.763440860215056
72	4.887585532746823
73	107.52688172043011
74	635.386119257087
75	58.651026392961874
76	9.775171065493646
77	92.86412512218963
78	645.1612903225806
79	68.42619745845552
80	4.887585532746823
81	112.41446725317694
82	640.2737047898338
83	63.5386119257087
84	9.775171065493646
85	117.30205278592375
86	640.2737047898338
87	68.42619745845552
88	4.887585532746823
89	92.86412512218963
90	635.386119257087
91	58.651026392961874
92	0
93	122.18963831867057
94	659.8240469208212
95	58.651026392961874
96	4.887585532746823
97	117.30205278592375
98	659.8240469208212
99	58.651026392961874
100	4.887585532746823
101	117.30205278592375
102	669.5992179863148
103	63.5386119257087
104	4.887585532746823
105	87.97653958944281
106	630.4985337243402
107	58.651026392961874
108	4.887585532746823
109	102.63929618768329
110	650.0488758553274
111	58.651026392961874
112	4.887585532746823
113	102.63929618768329
114	650.0488758553274
115	58.651026392961874
116	4.887585532746823
117	92.86412512218963
118	659.8240469208212
119	73.31378299120234
120	4.887585532746823
121	87.97653958944281
122	630.4985337243402
123	63.5386119257087
124	9.775171065493646
125	97.75171065493646
126	654.9364613880742
127	68.42619745845552
128	4.887585532746823
129	92.86412512218963
130	689.149560117302
131	63.5386119257087
132	4.887585532746823
133	83.088954056696
134	659.8240469208212
135	68.42619745845552
136	9.775171065493646
137	87.97653958944281
138	650.0488758553274
139	73.31378299120234
140	4.887585532746823
141	87.97653958944281
142	654.9364613880742
143	68.42619745845552
144	4.887585532746823
145	92.86412512218963
146	654.9364613880742
147	68.42619745845552
148	4.887585532746823
149	92.86412512218963
150	650.0488758553274
151	63.5386119257087
152	4.887585532746823
153	92.86412512218963
154	669.5992179863148
155	78.20136852394917
156	4.887585532746823
157	97.75171065493646
158	659.8240469208212
159	68.42619745845552
160	4.887585532746823
161	73.31378299120234
162	640.2737047898338
163	68.42619745845552
164	4.887585532746823
165	83.088954056696
166	650.0488758553274
167	68.42619745845552
168	9.775171065493646
169	87.97653958944281
170	669.5992179863148
171	68.42619745845552
172	0
173	83.088954056696
174	654.9364613880742
175	68.42619745845552
176	9.775171065493646
177	83.088954056696
178	650.0488758553274
179	78.20136852394917
180	4.887585532746823
181	73.31378299120234
182	625.6109481915934
183	68.42619745845552
184	9.775171065493646
185	87.97653958944281
186	615.8357771260997
187	58.651026392961874
188	9.775171065493646
189	83.088954056696
190	664.711632453568
191	68.42619745845552
192	9.775171065493646
193	78.20136852394917
194	659.8240469208212
195	73.31378299120234
196	9.775171065493646
197	87.97653958944281
198	654.9364613880742
199	73.31378299120234
200	9.775171065493646
201	92.86412512218963
202	669.5992179863148
203	73.31378299120234
204	4.887585532746823
205	68.42619745845552
206	664.711632453568
207	78.20136852394917
208	4.887585532746823
209	73.31378299120234
210	650.0488758553274
211	87.97653958944281
212	9.775171065493646
213	73.31378299120234
214	659.8240469208212
215	78.20136852394917
216	9.775171065493646
217	58.651026392961874
218	684.2619745845552
219	78.20136852394917
220	4.887585532746823
221	78.20136852394917
222	645.1612903225806
223	78.20136852394917
224	4.887585532746823
225	63.5386119257087
226	654.9364613880742
227	78.20136852394917
228	4.887585532746823
229	73.31378299120234
230	669.5992179863148
231	83.088954056696
232	0
233	68.42619745845552
234	645.1612903225806
235	78.20136852394917
236	4.887585532746823
237	53.763440860215056
238	645.1612903225806
239	87.97653958944281
240	9.775171065493646
241	58.651026392961874
242	659.8240469208212
243	73.31378299120234
244	0
245	58.651026392961874
246	674.4868035190616
247	73.31378299120234
248	4.887585532746823
249	63.5386119257087
250	654.9364613880742
251	73.31378299120234
252	9.775171065493646
253	58.651026392961874
254	669.5992179863148
255	73.31378299120234
256	4.887585532746823
257	48.87585532746823
258	650.0488758553274
259	78.20136852394917
260	4.887585532746823
261	43.988269794721404
262	596.2854349951124
263	166.177908113392
264	14.662756598240469
265	4.887585532746823
266	439.88269794721407
267	483.8709677419355
268	39.100684261974585
269	14.662756598240469
270	39.100684261974585
271	576.7350928641251
272	156.40273704789834
273	4.887585532746823
274	9.775171065493646
275	415.44477028347995
276	483.8709677419355
277	34.21309872922776
278	4.887585532746823
279	39.100684261974585
280	557.1847507331378
281	171.0654936461388
282	4.887585532746823
283	9.775171065493646
284	420.33235581622677
285	488.7585532746823
286	14.662756598240469
287	14.662756598240469
288	219.94134897360703
289	615.8357771260997
290	39.100684261974585
291	9.775171065493646
292	39.100684261974585
293	571.8475073313783
294	166.177908113392
295	4.887585532746823
296	9.775171065493646
297	430.10752688172045
298	537.6344086021505
299	24.437927663734115
300	4.887585532746823
301	200.39100684261976
302	615.8357771260997
303	34.21309872922776
304	9.775171065493646
305	39.100684261974585
306	557.1847507331378
307	166.177908113392
308	9.775171065493646
